,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,MONTH,MONTH_1,MONTH_NAME,DAY
36,2016-01-20 13:25:00,2016-01-20 14:19:00,Business,Raleigh,Cary,40.2,Customer Visit,1,1,January,20
37,2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,1,1,January,21
38,2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,1,1,January,21
39,2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,1,1,January,21
40,2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,1,1,January,26
41,2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,1,1,January,26
42,2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,1,1,January,26
43,2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,1,1,January,26
44,2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,1,1,January,26
45,2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,1,1,January,27
46,2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,Raleigh,18.7,Customer Visit,1,1,January,27
47,2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,1,1,January,27
48,2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,Raleigh,2.7,Customer Visit,1,1,January,27
49,2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,Cary,12.9,Customer Visit,1,1,January,27
50,2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,Raleigh,19.0,Temporary Site,1,1,January,28
51,2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,1,1,January,28
52,2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,Cary,15.7,Meeting,1,1,January,28
53,2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,1,1,January,29
54,2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,Cary,5.2,Meeting,1,1,January,29
55,2016-01-29 11:43:00,2016-01-29 12:03:00,Business,Cary,Durham,10.4,Meeting,1,1,January,29
56,2016-01-29 13:24:00,2016-01-29 13:47:00,Business,Durham,Cary,10.1,Meeting,1,1,January,29
57,2016-01-29 18:31:00,2016-01-29 18:52:00,Business,Cary,Apex,5.8,Errand/Supplies,1,1,January,29
58,2016-01-29 21:21:00,2016-01-29 21:40:00,Business,Apex,Cary,5.5,Meal/Entertain,1,1,January,29
59,2016-01-30 16:21:00,2016-01-30 16:33:00,Business,Cary,Apex,5.7,Errand/Supplies,1,1,January,30
60,2016-01-30 18:09:00,2016-01-30 18:24:00,Business,Apex,Cary,5.7,Customer Visit,1,1,January,30
61,2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,2,2,February,1
62,2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,2,2,February,1
63,2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2,2,February,1
64,2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2,2,February,2
65,2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,2,2,February,2
66,2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,2,2,February,2
67,2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,2,2,February,4
68,2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,2,2,February,4
69,2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,2,2,February,4
70,2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,2,2,February,4
71,2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,2,2,February,4
72,2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,2,2,February,4
73,2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,2,2,February,4
74,2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,2,2,February,5
75,2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,2,2,February,5
76,2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,2,2,February,6
77,2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,2,2,February,6
78,2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,2,2,February,6
79,2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,2,2,February,7
80,2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,2,2,February,7
81,2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,2,2,February,7
82,2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,2,2,February,7
83,2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,2,2,February,8
84,2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,2,2,February,8
85,2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,,2,2,February,9
86,2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,,2,2,February,9
87,2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,,2,2,February,9
88,2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,,2,2,February,9
89,2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,,2,2,February,9
90,2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,2,2,February,9
91,2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,2,2,February,11
92,2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,2,2,February,11
93,2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,2,2,February,11
94,2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,2,2,February,11
95,2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,2,2,February,12
96,2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,2,2,February,12
97,2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,2,2,February,12
98,2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,2,2,February,12
99,2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,2,2,February,12
100,2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,2,2,February,12
101,2016-02-13 14:21:00,2016-02-13 14:41:00,Business,Cary,Morrisville,8.9,Meeting,2,2,February,13
102,2016-02-13 23:45:00,2016-02-14 00:01:00,Personal,East Elmhurst,Jackson Heights,2.7,,2,2,February,13
103,2016-02-14 00:50:00,2016-02-14 01:00:00,Personal,Jackson Heights,East Elmhurst,1.8,,2,2,February,14
104,2016-02-14 14:07:00,2016-02-14 14:40:00,Business,East Elmhurst,New York,8.1,Meeting,2,2,February,14
105,2016-02-14 14:46:00,2016-02-14 15:03:00,Business,Midtown,Midtown West,2.0,Meeting,2,2,February,14
106,2016-02-14 16:35:00,2016-02-14 17:02:00,Business,New York,Long Island City,13.0,Meeting,2,2,February,14
107,2016-02-14 17:06:00,2016-02-14 17:29:00,Business,Long Island City,Jamaica,13.9,Meeting,2,2,February,14
108,2016-02-16 03:21:00,2016-02-16 04:13:00,Business,Katunayaka,Unknown Location,43.7,Customer Visit,2,2,February,16
109,2016-02-16 08:29:00,2016-02-16 09:34:00,Business,Unknown Location,Colombo,14.1,,2,2,February,16
110,2016-02-16 10:31:00,2016-02-16 10:41:00,Business,Colombo,Colombo,2.6,,2,2,February,16
111,2016-02-16 11:32:00,2016-02-16 12:02:00,Business,Colombo,Colombo,4.5,,2,2,February,16
112,2016-02-16 12:39:00,2016-02-16 12:42:00,Business,Colombo,Colombo,1.7,,2,2,February,16
113,2016-02-16 13:43:00,2016-02-16 13:55:00,Business,Colombo,Colombo,1.8,Temporary Site,2,2,February,16
114,2016-02-16 16:34:00,2016-02-16 17:10:00,Business,Colombo,Colombo,6.0,,2,2,February,16
115,2016-02-16 17:17:00,2016-02-16 17:26:00,Business,Colombo,Nugegoda,1.1,Meal/Entertain,2,2,February,16
116,2016-02-16 17:40:00,2016-02-16 17:44:00,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,2,2,February,16
117,2016-02-17 13:18:00,2016-02-17 14:04:00,Business,Unknown Location,Colombo,14.7,Temporary Site,2,2,February,17
118,2016-02-17 15:17:00,2016-02-17 15:22:00,Business,Colombo,Colombo,1.7,Meal/Entertain,2,2,February,17
119,2016-02-17 15:33:00,2016-02-17 16:17:00,Business,Colombo,Katunayaka,21.4,Temporary Site,2,2,February,17
120,2016-02-17 16:38:00,2016-02-17 16:43:00,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,2,2,February,17
121,2016-02-18 08:19:00,2016-02-18 08:27:00,Business,Unknown Location,Unknown Location,23.5,Temporary Site,2,2,February,18
122,2016-02-18 14:03:00,2016-02-18 14:45:00,Business,Unknown Location,Islamabad,12.7,Temporary Site,2,2,February,18
123,2016-02-18 15:16:00,2016-02-18 15:31:00,Business,Islamabad,Unknown Location,6.0,Temporary Site,2,2,February,18
124,2016-02-18 18:44:00,2016-02-18 18:58:00,Business,Unknown Location,Islamabad,5.2,Customer Visit,2,2,February,18
125,2016-02-18 19:27:00,2016-02-18 20:08:00,Business,Islamabad,Unknown Location,10.0,Meeting,2,2,February,18
126,2016-02-19 09:02:00,2016-02-19 09:14:00,Business,Unknown Location,Unknown Location,18.3,Meeting,2,2,February,19
127,2016-02-19 09:21:00,2016-02-19 09:51:00,Business,Unknown Location,Unknown Location,11.2,Meeting,2,2,February,19
128,2016-02-19 10:21:00,2016-02-19 10:48:00,Business,Unknown Location,Islamabad,7.6,Meeting,2,2,February,19
129,2016-02-19 11:20:00,2016-02-19 11:26:00,Personal,Islamabad,Islamabad,1.5,,2,2,February,19
130,2016-02-19 11:45:00,2016-02-19 11:50:00,Personal,Islamabad,Islamabad,1.0,,2,2,February,19
131,2016-02-19 12:09:00,2016-02-19 12:27:00,Business,Islamabad,Unknown Location,7.3,Temporary Site,2,2,February,19
132,2016-02-19 16:26:00,2016-02-19 16:45:00,Business,Unknown Location,Islamabad,3.5,,2,2,February,19
133,2016-02-19 17:09:00,2016-02-19 17:20:00,Business,Islamabad,Islamabad,4.2,,2,2,February,19
134,2016-02-19 20:08:00,2016-02-19 20:30:00,Personal,Islamabad,Unknown Location,13.6,,2,2,February,19
135,2016-02-19 20:34:00,2016-02-19 20:51:00,Personal,Unknown Location,Unknown Location,2.5,,2,2,February,19
136,2016-02-20 07:59:00,2016-02-20 08:32:00,Personal,Unknown Location,Islamabad,14.4,,2,2,February,20
137,2016-02-20 10:48:00,2016-02-20 10:56:00,Personal,Islamabad,Islamabad,3.0,,2,2,February,20
138,2016-02-20 11:45:00,2016-02-20 11:53:00,Personal,Islamabad,Islamabad,1.5,,2,2,February,20
139,2016-02-20 12:41:00,2016-02-20 13:17:00,Business,Islamabad,R?walpindi,18.4,,2,2,February,20
140,2016-02-20 14:50:00,2016-02-20 15:54:00,Business,R?walpindi,R?walpindi,23.1,Meeting,2,2,February,20
141,2016-02-20 16:59:00,2016-02-20 17:54:00,Personal,R?walpindi,Unknown Location,16.5,,2,2,February,20
142,2016-02-20 18:00:00,2016-02-20 18:03:00,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,2,2,February,20
143,2016-02-20 19:28:00,2016-02-20 19:49:00,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,2,2,February,20
144,2016-02-21 09:07:00,2016-02-21 09:46:00,Business,Unknown Location,Islamabad,14.5,,2,2,February,21
145,2016-02-21 11:39:00,2016-02-21 11:43:00,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,2,2,February,21
146,2016-02-21 11:47:00,2016-02-21 12:01:00,Business,Islamabad,Islamabad,4.6,Errand/Supplies,2,2,February,21
147,2016-02-21 12:13:00,2016-02-21 12:35:00,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,2,2,February,21
148,2016-02-21 12:51:00,2016-02-21 13:12:00,Business,Unknown Location,Unknown Location,8.3,Temporary Site,2,2,February,21
149,2016-02-21 13:33:00,2016-02-21 14:30:00,Business,Unknown Location,Unknown Location,22.7,Temporary Site,2,2,February,21
150,2016-02-21 14:36:00,2016-02-21 15:03:00,Business,Unknown Location,Islamabad,13.0,Temporary Site,2,2,February,21
151,2016-02-21 15:14:00,2016-02-21 15:31:00,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,2,2,February,21
152,2016-02-21 15:36:00,2016-02-21 15:41:00,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,2,2,February,21
153,2016-02-21 16:04:00,2016-02-21 16:32:00,Business,Unknown Location,Unknown Location,9.7,,2,2,February,21
154,2016-02-21 23:15:00,2016-02-21 23:52:00,Business,Unknown Location,R?walpindi,20.0,Meeting,2,2,February,21
155,2016-02-22 21:54:00,2016-02-22 22:09:00,Business,Morrisville,Cary,8.1,Customer Visit,2,2,February,22
156,2016-02-24 14:30:00,2016-02-24 14:35:00,Business,Whitebridge,Preston,1.5,,2,2,February,24
157,2016-02-24 15:19:00,2016-02-24 15:25:00,Business,Preston,Whitebridge,1.7,Errand/Supplies,2,2,February,24
158,2016-02-25 16:27:00,2016-02-25 16:35:00,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,2,2,February,25
159,2016-02-25 16:47:00,2016-02-25 17:02:00,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,2,2,February,25
160,2016-02-25 17:16:00,2016-02-25 17:36:00,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,2,2,February,25
161,2016-02-25 18:22:00,2016-02-25 18:39:00,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,2,2,February,25
162,2016-02-26 09:06:00,2016-02-26 09:29:00,Business,Whitebridge,Westpark Place,6.3,,2,2,February,26
163,2016-02-26 11:05:00,2016-02-26 11:11:00,Personal,Westpark Place,Whitebridge,1.7,,2,2,February,26
164,2016-02-26 11:35:00,2016-02-26 11:59:00,Business,Cary,Durham,10.6,Meeting,2,2,February,26
165,2016-02-26 13:01:00,2016-02-26 13:24:00,Business,Durham,Cary,9.9,Meeting,2,2,February,26
166,2016-02-26 14:38:00,2016-02-26 14:46:00,Personal,Whitebridge,Westpark Place,1.9,,2,2,February,26
167,2016-02-26 15:00:00,2016-02-26 15:18:00,Personal,Westpark Place,Hazelwood,4.2,,2,2,February,26
168,2016-02-26 17:01:00,2016-02-26 17:12:00,Personal,Hazelwood,Whitebridge,2.0,,2,2,February,26
169,2016-02-28 05:22:00,2016-02-28 05:38:00,Business,Whitebridge,Waverly Place,7.7,Meeting,2,2,February,28
170,2016-02-28 09:26:00,2016-02-28 09:42:00,Business,Waverly Place,Whitebridge,6.8,Meeting,2,2,February,28
171,2016-02-29 11:07:00,2016-02-29 11:14:00,Personal,Whitebridge,Westpark Place,2.1,,2,2,February,29
172,2016-02-29 11:30:00,2016-02-29 11:40:00,Business,Cary,Apex,3.8,Meeting,2,2,February,29
173,2016-02-29 12:36:00,2016-02-29 12:48:00,Business,Apex,Cary,5.6,Meeting,2,2,February,29
174,2016-02-29 14:55:00,2016-02-29 15:03:00,Business,Whitebridge,Hazelwood,2.6,,2,2,February,29
175,2016-02-29 16:40:00,2016-02-29 17:00:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,2,2,February,29
176,2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,3,3,March,1
177,2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,3,3,March,1
178,2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,,3,3,March,3
179,2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,3,3,March,3
180,2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,3,3,March,3
181,2016-03-03 15:27:00,2016-03-03 15:48:00,Business,Cary,Raleigh,7.6,Customer Visit,3,3,March,3
182,2016-03-03 16:02:00,2016-03-03 16:42:00,Business,Raleigh,Cary,17.3,Meeting,3,3,March,3
183,2016-03-04 07:47:00,2016-03-04 08:06:00,Business,Cary,Durham,9.9,Meeting,3,3,March,4
184,2016-03-04 09:46:00,2016-03-04 10:03:00,Business,Durham,Cary,9.9,Customer Visit,3,3,March,4
185,2016-03-04 11:46:00,2016-03-04 12:06:00,Business,Cary,Durham,10.4,Meeting,3,3,March,4
186,2016-03-04 13:03:00,2016-03-04 13:25:00,Business,Durham,Cary,10.9,Meeting,3,3,March,4
187,2016-03-04 13:40:00,2016-03-04 14:09:00,Business,Cary,Raleigh,15.7,Customer Visit,3,3,March,4
188,2016-03-04 15:56:00,2016-03-04 16:08:00,Business,Raleigh,Raleigh,4.9,Meal/Entertain,3,3,March,4
189,2016-03-04 16:16:00,2016-03-04 16:22:00,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,3,3,March,4
190,2016-03-04 16:43:00,2016-03-04 17:12:00,Business,Raleigh,Cary,13.5,Meeting,3,3,March,4
191,2016-03-04 19:02:00,2016-03-04 19:08:00,Business,Cary,Morrisville,1.9,Temporary Site,3,3,March,4
192,2016-03-04 19:16:00,2016-03-04 19:25:00,Business,Morrisville,Cary,2.0,Meal/Entertain,3,3,March,4
193,2016-03-05 11:44:00,2016-03-05 11:59:00,Business,Cary,Morrisville,6.5,Meal/Entertain,3,3,March,5
194,2016-03-05 12:57:00,2016-03-05 13:12:00,Personal,Weston,Weston,4.2,,3,3,March,5
195,2016-03-05 14:08:00,2016-03-05 14:18:00,Personal,Morrisville,Cary,3.5,,3,3,March,5
196,2016-03-05 14:39:00,2016-03-05 15:01:00,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,3,3,March,5
197,2016-03-05 16:52:00,2016-03-05 17:13:00,Business,Cary,Morrisville,7.8,Meal/Entertain,3,3,March,5
198,2016-03-05 17:23:00,2016-03-05 17:34:00,Business,Morrisville,Cary,3.9,Meal/Entertain,3,3,March,5
199,2016-03-07 09:10:00,2016-03-07 09:20:00,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,3,3,March,7
200,2016-03-07 09:23:00,2016-03-07 09:47:00,Business,Cary,Raleigh,12.4,Customer Visit,3,3,March,7
201,2016-03-07 12:10:00,2016-03-07 12:26:00,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,3,3,March,7
202,2016-03-07 13:57:00,2016-03-07 14:18:00,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,3,3,March,7
203,2016-03-07 15:19:00,2016-03-07 15:45:00,Business,Raleigh,Cary,11.9,Between Offices,3,3,March,7
204,2016-03-08 14:38:00,2016-03-08 14:55:00,Business,Whitebridge,Waverly Place,7.2,Between Offices,3,3,March,8
205,2016-03-08 15:35:00,2016-03-08 16:00:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,3,3,March,8
206,2016-03-08 16:13:00,2016-03-08 16:25:00,Personal,Whitebridge,Whitebridge,1.6,,3,3,March,8
207,2016-03-10 03:36:00,2016-03-10 03:53:00,Business,Cary,Morrisville,8.4,Meeting,3,3,March,10
208,2016-03-10 10:08:00,2016-03-10 10:37:00,Business,East Austin,West University,12.8,Meeting,3,3,March,10
209,2016-03-10 14:39:00,2016-03-10 14:55:00,Business,West University,South Congress,2.3,,3,3,March,10
210,2016-03-10 16:18:00,2016-03-10 16:28:00,Business,South Congress,Arts District,1.6,,3,3,March,10
211,2016-03-11 09:47:00,2016-03-11 09:59:00,Business,The Drag,Congress Ave District,2.0,Meal/Entertain,3,3,March,11
212,2016-03-11 10:29:00,2016-03-11 10:36:00,Business,Congress Ave District,Downtown,0.8,,3,3,March,11
213,2016-03-11 11:57:00,2016-03-11 12:04:00,Business,Downtown,Red River District,1.2,,3,3,March,11
214,2016-03-11 13:43:00,2016-03-11 13:51:00,Business,Red River District,Downtown,1.0,,3,3,March,11
215,2016-03-11 19:21:00,2016-03-11 19:35:00,Business,South Congress,The Drag,2.1,,3,3,March,11
216,2016-03-12 09:13:00,2016-03-12 09:22:00,Business,The Drag,South Congress,2.2,,3,3,March,12
217,2016-03-12 18:27:00,2016-03-12 18:37:00,Personal,South Congress,The Drag,1.9,,3,3,March,12
218,2016-03-13 09:07:00,2016-03-13 09:37:00,Business,The Drag,Convention Center District,5.7,Meal/Entertain,3,3,March,13
219,2016-03-13 18:23:00,2016-03-13 18:43:00,Business,South Congress,North Austin,8.4,Meal/Entertain,3,3,March,13
220,2016-03-13 20:07:00,2016-03-13 20:28:00,Business,Georgian Acres,The Drag,6.2,Meal/Entertain,3,3,March,13
221,2016-03-13 20:39:00,2016-03-13 20:58:00,Business,The Drag,North Austin,10.5,Meal/Entertain,3,3,March,13
222,2016-03-13 21:11:00,2016-03-13 21:23:00,Business,North Austin,Coxville,7.2,Meal/Entertain,3,3,March,13
223,2016-03-13 22:19:00,2016-03-13 22:39:00,Business,Coxville,The Drag,12.5,,3,3,March,13
224,2016-03-14 08:34:00,2016-03-14 08:49:00,Business,The Drag,South Congress,2.0,Errand/Supplies,3,3,March,14
225,2016-03-14 18:39:00,2016-03-14 18:55:00,Business,South Congress,The Drag,2.7,,3,3,March,14
226,2016-03-15 08:45:00,2016-03-15 08:57:00,Business,The Drag,Convention Center District,2.0,Meal/Entertain,3,3,March,15
227,2016-03-15 20:48:00,2016-03-15 21:01:00,Business,Downtown,The Drag,2.8,Meal/Entertain,3,3,March,15
